100,Hu-176,Human
100,Hu-177,Human
100,Pg-200,Pigeon
101,Hu-178,Human
101,Hu-179,Human
101,Hu-184,Human
101,Hu-185,Human
101,Hu-186,Human
101,Hu-187,Human
101,Pg-201,Pigeon
101,Pg-202,Pigeon
102,Pg-203,Pigeon
102,Pg-204,Pigeon
103,Hu-182,Human
103,Hu-183,Human
103,Pg-205,Pigeon
103,Pg-206,Pigeon
104,Pg-207,Pigeon
104,Pg-208,Pigeon
105,Pg-209,Pigeon
105,Pg-210,Pigeon
106,Hu-244,Human
106,Hu-245,Human
106,Hu-247,Human
106,Hu-248,Human
106,Pg-211,Pigeon
106,Pg-212,Pigeon
107,Hu-241,Human
107,Hu-242,Human
107,Pg-213,Pigeon
107,Pg-214,Pigeon
108,Hu-243,Human
10,Ck-019,Chicken
10,Ck-020,Chicken
10,Ct-013,Cat
10,Dg-013,Dog
10,Dg-014,Dog
10,Ho-019,Horse
10,Ho-020,Horse
10,Hu-033,Human
10,Hu-034,Human
10,Pg-019,Pigeon
10,Pg-020,Pigeon
10,Rt-060,Ground Squirrel
10,Rt-061,Ground Squirrel
10,Sp-019,Sheep
10,Sp-020,Sheep
10,Sw-057,Pig
10,Sw-058,Pig
10,Tk-019,Wild Turkey
10,Tk-020,Wild Turkey
11001,Cw-095,Cow
11001,Cw-096,Cow
11001,Cw-489,Cow
11001,Cw-490,Cow
11002,Cw-093,Cow
11002,Cw-094,Cow
11002,Cw-597,Cow
11002,Cw-598,Cow
11003,Cw-057,Cow
11003,Cw-058,Cow
11004,Cw-479,Cow
11006,Cw-101,Cow
11006,Cw-461,Cow
11006,Cw-462,Cow
11007,Cw-075,Cow
11007,Cw-076,Cow
11007,Cw-475,Cow
11007,Cw-476,Cow
11008,Cw-051,Cow
11008,Cw-052,Cow
11008,Cw-455,Cow
11008,Cw-456,Cow
11009,Cw-065,Cow
11009,Cw-066,Cow
11009,Cw-459,Cow
11009,Cw-460,Cow
11010,Cw-103,Cow
11010,Cw-104,Cow
11010,Cw-521,Cow
11010,Cw-522,Cow
11011,Cw-115,Cow
11011,Cw-116,Cow
11011,Cw-495,Cow
11011,Cw-496,Cow
11012,Cw-113,Cow
11012,Cw-114,Cow
11012,Cw-507,Cow
11012,Cw-508,Cow
11013,Cw-117,Cow
11013,Cw-118,Cow
11013,Cw-779,Cow
11013,Cw-780,Cow
11014,Cw-085,Cow
11014,Cw-086,Cow
11014,Cw-517,Cow
11014,Cw-518,Cow
11018,Cw-055,Cow
11018,Cw-056,Cow
11019,Cw-041,Cow
11019,Cw-042,Cow
11019,Cw-463,Cow
11019,Cw-464,Cow
11020,Cw-087,Cow
11020,Cw-088,Cow
11020,Cw-499,Cow
11020,Cw-500,Cow
11021,Cw-081,Cow
11021,Cw-082,Cow
11021,Cw-453,Cow
11022,Cw-070,Cow
11022,Cw-509,Cow
11022,Cw-510,Cow
11026,Cw-097,Cow
11026,Cw-098,Cow
11027,Cw-109,Cow
11027,Cw-110,Cow
11027,Cw-515,Cow
11027,Cw-516,Cow
11029,Cw-053,Cow
11029,Cw-054,Cow
11029,Cw-777,Cow
11029,Cw-778,Cow
11030,Cw-105,Cow
11030,Cw-487,Cow
11030,Cw-488,Cow
11031,Cw-061,Cow
11031,Cw-062,Cow
11031,Cw-491,Cow
11031,Cw-492,Cow
11032,Cw-091,Cow
11032,Cw-092,Cow
11032,Cw-477,Cow
11032,Cw-478,Cow
11033,Cw-385,Cow
11033,Cw-386,Cow
11033,Cw-467,Cow
11034,Cw-089,Cow
11034,Cw-090,Cow
11034,Cw-470,Cow
11035,Cw-073,Cow
11035,Cw-074,Cow
11035,Cw-465,Cow
11035,Cw-466,Cow
11036,Cw-047,Cow
11036,Cw-048,Cow
11036,Cw-457,Cow
11036,Cw-458,Cow
11037,Cw-111,Cow
11037,Cw-112,Cow
11037,Cw-493,Cow
11037,Cw-494,Cow
11038,Cw-119,Cow
11038,Cw-120,Cow
11038,Cw-501,Cow
11038,Cw-502,Cow
11039,Cw-063,Cow
11039,Cw-064,Cow
11039,Cw-505,Cow
11039,Cw-506,Cow
11040,Cw-107,Cow
11040,Cw-108,Cow
11040,Cw-471,Cow
11040,Cw-472,Cow
11041,Cw-083,Cow
11041,Cw-084,Cow
11041,Cw-785,Cow
11041,Cw-786,Cow
11042,Cw-071,Cow
11042,Cw-072,Cow
11042,Cw-497,Cow
11042,Cw-498,Cow
11043,Cw-045,Cow
11043,Cw-046,Cow
11043,Cw-519,Cow
11043,Cw-520,Cow
11044,Cw-079,Cow
11044,Cw-080,Cow
11044,Cw-783,Cow
11044,Cw-784,Cow
11045,Cw-043,Cow
11045,Cw-044,Cow
11045,Cw-473,Cow
11045,Cw-474,Cow
11046,Cw-077,Cow
11046,Cw-078,Cow
11046,Cw-483,Cow
11046,Cw-484,Cow
11046,Cw-513,Cow
11046,Cw-514,Cow
11047,Cw-067,Cow
11047,Cw-068,Cow
11047,Cw-481,Cow
11047,Cw-482,Cow
11048,Cw-049,Cow
11048,Cw-511,Cow
11048,Cw-512,Cow
11049,Cw-099,Cow
11049,Cw-100,Cow
11049,Cw-503,Cow
11049,Cw-504,Cow
11050,Cw-059,Cow
11050,Cw-060,Cow
11050,Cw-485,Cow
11050,Cw-486,Cow
11051,Cw-399,Cow
11051,Cw-400,Cow
11051,Cw-423,Cow
11051,Cw-424,Cow
11051,Cw-425,Cow
11051,Cw-426,Cow
11051,Cw-428,Cow
11051,Cw-429,Cow
11051,Cw-430,Cow
11051,Cw-431,Cow
11051,Cw-432,Cow
11051,Cw-433,Cow
11051,Cw-434,Cow
11051,Cw-436,Cow
11051,Cw-437,Cow
11051,Cw-438,Cow
11051,Cw-439,Cow
11051,Cw-440,Cow
11051,Cw-441,Cow
11051,Cw-442,Cow
11051,Cw-443,Cow
11051,Cw-445,Cow
11051,Cw-446,Cow
11051,Cw-447,Cow
11051,Cw-450,Cow
11051,Cw-452,Cow
11051,Cw-569,Cow
11051,Cw-570,Cow
11052,Cw-147,Cow
11052,Cw-148,Cow
11052,Cw-531,Cow
11052,Cw-532,Cow
11052,Cw-579,Cow
